Points:0, Points:1, Points:2, scalars
0.12283E+04, -0.38163E+03, 0.11052E+04, 1
0.11327E+04, 0.26500E+02, 0.11172E+04, 1
0.10870E+04, 0.46700E+02, 0.10966E+04, 1
0.99966E+03, -0.33414E+03, 0.95933E+03, 1
0.12440E+04, -0.39503E+03, 0.11149E+04, 1
0.97630E+03, -0.30860E+03, 0.80562E+03, 1
0.12317E+04, -0.41260E+03, 0.10929E+04, 1
0.10573E+04, 0.93000E+01, 0.96594E+03, 1
0.10959E+04, -0.38898E+03, 0.11005E+04, 1
0.10052E+04, 0.12900E+02, 0.89106E+03, 1
0.11479E+04, 0.28000E+02, 0.11287E+04, 1
0.10511E+04, 0.33702E+03, 0.10640E+04, 1
0.98360E+03, -0.36700E+02, 0.84328E+03, 1
0.10210E+04, 0.27900E+02, 0.78342E+03, 1
0.10110E+04, -0.52700E+02, 0.88736E+03, 1
0.13353E+04, -0.51000E+02, 0.11420E+04, 1
0.11018E+04, -0.60000E+01, 0.10912E+04, 1
0.11387E+04, 0.35905E+03, 0.11295E+04, 1
0.12757E+04, 0.17924E+02, 0.11074E+04, 1
0.10681E+04, -0.19000E+02, 0.10336E+04, 1
0.10443E+04, -0.26838E+03, 0.68550E+03, 1
0.11999E+04, 0.42800E+02, 0.11082E+04, 1
0.10478E+04, -0.34335E+03, 0.10924E+04, 1
0.13226E+04, 0.54000E+02, 0.11300E+04, 1
0.13040E+04, 0.40000E+02, 0.11420E+04, 1
0.10918E+04, -0.35186E+03, 0.11082E+04, 1
0.10510E+04, -0.33699E+03, 0.10638E+04, 1
0.10548E+04, 0.35574E+03, 0.11005E+04, 1
0.12854E+04, -0.41040E+03, 0.11300E+04, 1
0.10779E+04, -0.37211E+03, 0.11337E+04, 1
0.10912E+04, -0.36700E+02, 0.11041E+04, 1
0.10829E+04, 0.36700E+02, 0.10891E+04, 1
0.10277E+04, -0.31792E+03, 0.99803E+03, 1
0.13335E+04, 0.47400E+02, 0.10929E+04, 1
0.12208E+04, 0.42300E+02, 0.11291E+04, 1
0.11524E+04, -0.46700E+02, 0.11379E+04, 1
0.10574E+04, -0.60000E+01, 0.10301E+04, 1
0.97552E+03, -0.32640E+03, 0.99187E+03, 1
0.10044E+04, -0.46700E+02, 0.94755E+03, 1
0.94250E+03, 0.31320E+03, 0.71889E+03, 1
0.10475E+04, -0.35138E+03, 0.11092E+04, 1
0.94250E+03, -0.31320E+03, 0.88244E+03, 1
0.11195E+04, -0.44000E+02, 0.10740E+04, 1
0.13819E+04, -0.47400E+02, 0.10929E+04, 1
0.13417E+04, -0.40000E+02, 0.11420E+04, 1
0.98360E+03, -0.36700E+02, 0.70650E+03, 1
0.12334E+04, 0.38044E+03, 0.11300E+04, 1
0.98300E+03, -0.26900E+02, 0.70132E+03, 1
0.11682E+04, -0.36700E+02, 0.11379E+04, 1
0.11053E+04, 0.35547E+03, 0.10985E+04, 1
0.12124E+04, -0.41044E+03, 0.11052E+04, 1
0.93470E+03, 0.32000E+03, 0.89539E+03, 1
0.12669E+04, 0.41066E+03, 0.10929E+04, 1
0.10880E+04, 0.60000E+01, 0.10663E+04, 1
0.13973E+04, 0.47400E+02, 0.10929E+04, 1
0.10592E+04, -0.35581E+03, 0.10737E+04, 1
0.10135E+04, -0.46700E+02, 0.96386E+03, 1
0.97842E+03, 0.33579E+03, 0.97248E+03, 1
0.11573E+04, -0.38221E+03, 0.11379E+04, 1
0.10984E+04, 0.19000E+02, 0.11084E+04, 1
0.93830E+03, -0.32130E+03, 0.91582E+03, 1
0.11324E+04, -0.52700E+02, 0.11105E+04, 1
0.98780E+03, 0.19000E+02, 0.90104E+03, 1
0.11445E+04, -0.60000E+01, 0.11316E+04, 1
0.10052E+04, 0.12900E+02, 0.86793E+03, 1
0.12099E+04, -0.27900E+02, 0.11005E+04, 1
0.96874E+03, -0.30295E+03, 0.96462E+03, 1
0.13719E+04, 0.13400E+02, 0.11237E+04, 1
0.97630E+03, -0.30860E+03, 0.73027E+03, 1
0.10010E+04, 0.35210E+03, 0.10520E+04, 1
0.10242E+04, 0.33378E+03, 0.10777E+04, 1
0.12230E+04, -0.42291E+03, 0.11300E+04, 1
0.11896E+04, 0.36700E+02, 0.11379E+04, 1
0.10090E+04, -0.35357E+03, 0.10196E+04, 1
0.93630E+03, -0.31213E+03, 0.91658E+03, 1
0.95080E+03, -0.30800E+03, 0.69307E+03, 1
0.13535E+04, -0.13800E+02, 0.11139E+04, 1
0.99910E+03, -0.60000E+01, 0.69737E+03, 1
0.99910E+03, 0.60000E+01, 0.71133E+03, 1
0.11023E+04, 0.28000E+02, 0.11054E+04, 1
0.99309E+03, -0.11500E+02, 0.92940E+03, 1
0.95790E+03, -0.30220E+03, 0.72566E+03, 1
0.12485E+04, -0.39699E+03, 0.11300E+04, 1
0.99910E+03, 0.60000E+01, 0.79540E+03, 1
0.13077E+04, -0.42235E+03, 0.11052E+04, 1
0.12805E+04, -0.42032E+03, 0.11300E+04, 1
0.11514E+04, -0.37355E+03, 0.11082E+04, 1
0.13278E+04, 0.31900E+02, 0.11300E+04, 1
0.11891E+04, -0.19000E+02, 0.11337E+04, 1
0.94700E+03, 0.29970E+03, 0.83129E+03, 1
0.13258E+04, -0.43900E+02, 0.11149E+04, 1
0.93680E+03, -0.30190E+03, 0.88208E+03, 1
0.10912E+04, -0.60000E+01, 0.10722E+04, 1
0.95790E+03, -0.30220E+03, 0.79044E+03, 1
0.12917E+04, 0.29000E+02, 0.11420E+04, 1
0.98383E+03, -0.32822E+03, 0.98700E+03, 1
0.10497E+04, 0.12900E+02, 0.98477E+03, 1
0.11879E+04, 0.39314E+03, 0.11380E+04, 1
0.10470E+04, -0.26930E+03, 0.67614E+03, 1
0.95080E+03, 0.30800E+03, 0.87601E+03, 1
0.10371E+04, -0.33243E+03, 0.10807E+04, 1
0.13482E+04, 0.13400E+02, 0.11237E+04, 1
0.12613E+04, -0.43876E+03, 0.11052E+04, 1
0.10196E+04, -0.31501E+03, 0.10019E+04, 1
0.11339E+04, 0.38403E+03, 0.11385E+04, 1
0.10399E+04, 0.35819E+03, 0.10906E+04, 1
0.98883E+03, -0.31437E+03, 0.94451E+03, 1
0.10179E+04, -0.33150E+03, 0.10656E+04, 1
0.11816E+04, 0.39838E+03, 0.10998E+04, 1
0.11275E+04, 0.42800E+02, 0.11082E+04, 1
0.98780E+03, 0.19000E+02, 0.80573E+03, 1
0.11750E+04, 0.52100E+02, 0.11295E+04, 1
0.11645E+04, -0.41742E+03, 0.11316E+04, 1
0.96900E+03, -0.32300E+03, 0.78375E+03, 1
0.10260E+04, 0.34355E+03, 0.10679E+04, 1
0.97630E+03, -0.30860E+03, 0.70204E+03, 1
0.10825E+04, -0.27900E+02, 0.10114E+04, 1
0.10035E+04, -0.43600E+02, 0.68629E+03, 1
0.98990E+03, -0.60000E+01, 0.89625E+03, 1
0.98965E+03, -0.35383E+03, 0.99963E+03, 1
0.99913E+03, 0.33378E+03, 0.10164E+04, 1
0.93680E+03, 0.30190E+03, 0.90080E+03, 1
0.11107E+04, 0.35462E+03, 0.11379E+04, 1
0.92720E+03, -0.32520E+03, 0.82868E+03, 1
0.12634E+04, -0.42415E+03, 0.10929E+04, 1
0.12071E+04, 0.42633E+03, 0.11249E+04, 1
0.94700E+03, 0.29970E+03, 0.74027E+03, 1
0.10341E+04, 0.52700E+02, 0.94462E+03, 1
0.10234E+04, 0.26500E+02, 0.93907E+03, 1
0.11306E+04, 0.19000E+02, 0.11337E+04, 1
0.10345E+04, 0.32114E+03, 0.10701E+04, 1
0.11407E+04, -0.40150E+03, 0.11163E+04, 1
0.10880E+04, -0.60000E+01, 0.10852E+04, 1
0.12591E+04, -0.44361E+03, 0.11139E+04, 1
0.10230E+04, -0.44000E+02, 0.86345E+03, 1
0.10576E+04, 0.33529E+03, 0.11352E+04, 1
0.12468E+04, -0.38834E+03, 0.11052E+04, 1
0.12523E+04, 0.38730E+03, 0.11300E+04, 1
0.11641E+04, 0.39398E+03, 0.11005E+04, 1
0.93680E+03, -0.30190E+03, 0.67011E+03, 1
0.13210E+04, 0.23600E+02, 0.11149E+04, 1
0.13088E+04, -0.45123E+03, 0.11149E+04, 1
0.10110E+04, -0.52700E+02, 0.89360E+03, 1
0.13902E+04, -0.13400E+02, 0.11237E+04, 1
0.12036E+04, -0.37640E+03, 0.11244E+04, 1
0.13832E+04, 0.64400E+02, 0.11300E+04, 1
0.13224E+04, -0.40000E+02, 0.11420E+04, 1
0.10498E+04, 0.93000E+01, 0.95233E+03, 1
0.95790E+03, -0.30220E+03, 0.87454E+03, 1
0.10569E+04, -0.42800E+02, 0.98088E+03, 1
0.11690E+04, -0.41909E+03, 0.11224E+04, 1
0.13229E+04, 0.61500E+02, 0.11052E+04, 1
0.98780E+03, -0.19000E+02, 0.77641E+03, 1
0.12269E+04, 0.52100E+02, 0.11295E+04, 1
0.12878E+04, 0.64400E+02, 0.11300E+04, 1
0.12179E+04, 0.40116E+03, 0.11414E+04, 1
0.94900E+03, 0.33170E+03, 0.77471E+03, 1
0.10224E+04, 0.12900E+02, 0.93548E+03, 1
0.99990E+03, 0.19000E+02, 0.93073E+03, 1
0.94090E+03, -0.33610E+03, 0.74745E+03, 1
0.12888E+04, 0.42713E+03, 0.11052E+04, 1
0.11184E+04, 0.35166E+03, 0.11295E+04, 1
0.94900E+03, -0.33170E+03, 0.72307E+03, 1
0.10886E+04, -0.60000E+01, 0.10863E+04, 1
0.13097E+04, 0.44100E+03, 0.10929E+04, 1
0.10631E+04, -0.26900E+02, 0.10546E+04, 1
0.10519E+04, -0.10470E+03, 0.68550E+03, 1
0.10285E+04, 0.34615E+03, 0.10499E+04, 1
0.10338E+04, 0.42800E+02, 0.93928E+03, 1
0.95000E+03, 0.29030E+03, 0.83464E+03, 1
