Points:0, Points:1, Points:2, scalars
0.14602E+04, 0.38818E+03, -0.96250E+03, 1
0.15186E+04, 0.91097E+02, -0.96250E+03, 1
0.14958E+04, 0.47652E+03, -0.96250E+03, 1
0.14189E+04, 0.27102E+03, -0.96250E+03, 1
0.14458E+04, 0.22255E+03, -0.96250E+03, 1
0.15498E+04, 0.34914E+02, -0.96250E+03, 1
0.14502E+04, 0.21460E+03, -0.96250E+03, 1
0.15840E+04, -0.31103E+02, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.11363E+04, 1
0.15881E+04, -0.40500E+02, -0.10430E+04, 1
0.15881E+04, -0.40500E+02, -0.10149E+04, 1
0.15266E+04, 0.76747E+02, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.11072E+04, 1
0.14413E+04, 0.41065E+03, -0.96250E+03, 1
0.15593E+04, 0.17731E+02, -0.96250E+03, 1
0.15084E+04, 0.48713E+03, -0.11436E+04, 1
0.14799E+04, 0.46317E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.10652E+04, 1
0.14087E+04, 0.28948E+03, -0.96250E+03, 1
0.14622E+04, 0.44831E+03, -0.96250E+03, 1
0.14587E+04, 0.19925E+03, -0.96250E+03, 1
0.15596E+04, 0.17244E+02, -0.96250E+03, 1
0.14587E+04, 0.38994E+03, -0.96250E+03, 1
0.14504E+04, 0.43839E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.11153E+04, 1
0.14728E+04, 0.34375E+03, -0.96250E+03, 1
0.14792E+04, 0.34908E+03, -0.96250E+03, 1
0.15149E+04, 0.97907E+02, -0.96250E+03, 1
0.14645E+04, 0.45028E+03, -0.96250E+03, 1
0.15869E+04, -0.37791E+02, -0.96250E+03, 1
0.15025E+04, 0.12016E+03, -0.96250E+03, 1
0.14918E+04, 0.13960E+03, -0.96250E+03, 1
0.15881E+04, -0.40500E+02, -0.10412E+04, 1
0.14955E+04, 0.47629E+03, -0.96250E+03, 1
0.14463E+04, 0.43497E+03, -0.96250E+03, 1
0.15081E+04, 0.48684E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.10367E+04, 1
0.15084E+04, 0.48710E+03, -0.10351E+04, 1
0.14649E+04, 0.45060E+03, -0.96250E+03, 1
0.14803E+04, 0.35006E+03, -0.96250E+03, 1
0.15531E+04, 0.29024E+02, -0.96250E+03, 1
0.15881E+04, -0.40500E+02, -0.10652E+04, 1
0.15072E+04, 0.11176E+03, -0.96250E+03, 1
0.14385E+04, 0.31498E+03, -0.96250E+03, 1
0.15881E+04, -0.40500E+02, -0.10628E+04, 1
0.15084E+04, 0.48710E+03, -0.10400E+04, 1
0.14781E+04, 0.36689E+03, -0.96250E+03, 1
0.15881E+04, -0.40500E+02, -0.10434E+04, 1
0.14507E+04, 0.43869E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.11027E+04, 1
0.14563E+04, 0.20354E+03, -0.96250E+03, 1
0.14390E+04, 0.42886E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.10678E+04, 1
0.15630E+04, 0.11001E+02, -0.96250E+03, 1
0.15139E+04, 0.99695E+02, -0.96250E+03, 1
