Points:0, Points:1, Points:2, scalars
0.14871E+04, 0.46891E+03, -0.96510E+03, 1
0.15093E+04, 0.48637E+03, -0.10483E+04, 1
0.14748E+04, 0.34641E+03, -0.96144E+03, 1
0.14341E+04, 0.31111E+03, -0.96154E+03, 1
0.14812E+04, 0.15363E+03, -0.96270E+03, 1
0.14835E+04, 0.46406E+03, -0.96091E+03, 1
0.15897E+04, -0.39474E+02, -0.96258E+03, 1
0.15382E+04, 0.53568E+02, -0.96054E+03, 1
0.15176E+04, 0.90828E+02, -0.96064E+03, 1
0.15888E+04, -0.38972E+02, -0.10671E+04, 1
0.14372E+04, 0.42772E+03, -0.96370E+03, 1
0.14979E+04, 0.47867E+03, -0.95981E+03, 1
0.14587E+04, 0.44524E+03, -0.96233E+03, 1
0.15105E+04, 0.48625E+03, -0.10292E+04, 1
0.15084E+04, 0.48943E+03, -0.10399E+04, 1
0.14781E+04, 0.46201E+03, -0.96475E+03, 1
0.14611E+04, 0.33283E+03, -0.96213E+03, 1
0.15292E+04, 0.77817E+02, -0.96222E+03, 1
0.15880E+04, -0.39502E+02, -0.98624E+03, 1
0.15131E+04, 0.97243E+02, -0.96108E+03, 1
0.14418E+04, 0.32066E+03, -0.96180E+03, 1
0.15892E+04, -0.40262E+02, -0.10247E+04, 1
0.15086E+04, 0.48937E+03, -0.98572E+03, 1
0.14705E+04, 0.37219E+03, -0.96118E+03, 1
0.15867E+04, -0.39690E+02, -0.98803E+03, 1
0.14657E+04, 0.45010E+03, -0.96494E+03, 1
0.15098E+04, 0.48730E+03, -0.11321E+04, 1
0.14677E+04, 0.18345E+03, -0.96410E+03, 1
0.15042E+04, 0.48485E+03, -0.96518E+03, 1
0.15100E+04, 0.48598E+03, -0.10487E+04, 1
0.15177E+04, 0.98699E+02, -0.96200E+03, 1
0.14973E+04, 0.13171E+03, -0.96035E+03, 1
0.14429E+04, 0.22884E+03, -0.96376E+03, 1
0.15900E+04, -0.38617E+02, -0.10367E+04, 1
0.14652E+04, 0.19015E+03, -0.96228E+03, 1
0.15379E+04, 0.53492E+02, -0.96389E+03, 1
0.14731E+04, 0.37116E+03, -0.96507E+03, 1
0.15056E+04, 0.48712E+03, -0.99316E+03, 1
0.15231E+04, 0.88124E+02, -0.96163E+03, 1
0.14126E+04, 0.29656E+03, -0.96224E+03, 1
0.14616E+04, 0.19288E+03, -0.96161E+03, 1
0.14487E+04, 0.43747E+03, -0.95988E+03, 1
0.15499E+04, 0.39356E+02, -0.96154E+03, 1
0.14215E+04, 0.26894E+03, -0.96300E+03, 1
0.14295E+04, 0.30824E+03, -0.96523E+03, 1
0.14856E+04, 0.46828E+03, -0.96006E+03, 1
0.15753E+04, -0.10165E+02, -0.96241E+03, 1
0.14387E+04, 0.41265E+03, -0.96302E+03, 1
0.14232E+04, 0.30058E+03, -0.96297E+03, 1
0.14997E+04, 0.12886E+03, -0.96430E+03, 1
0.15536E+04, 0.30194E+02, -0.96304E+03, 1
0.15572E+04, 0.26199E+02, -0.96331E+03, 1
0.15879E+04, -0.40470E+02, -0.96159E+03, 1
0.15068E+04, 0.48656E+03, -0.10040E+04, 1
0.15864E+04, -0.38734E+02, -0.96114E+03, 1
0.15906E+04, -0.42220E+02, -0.99981E+03, 1
0.14318E+04, 0.42241E+03, -0.96410E+03, 1
0.15058E+04, 0.11695E+03, -0.96207E+03, 1
0.14456E+04, 0.32431E+03, -0.96195E+03, 1
0.15098E+04, 0.48646E+03, -0.10090E+04, 1
0.15091E+04, 0.48420E+03, -0.10222E+04, 1
0.14260E+04, 0.30526E+03, -0.96024E+03, 1
0.14793E+04, 0.36192E+03, -0.96411E+03, 1
0.15266E+04, 0.80159E+02, -0.96105E+03, 1
0.15907E+04, -0.39970E+02, -0.10162E+04, 1
0.15903E+04, -0.39691E+02, -0.96982E+03, 1
0.14079E+04, 0.28540E+03, -0.96387E+03, 1
0.15045E+04, 0.48370E+03, -0.96493E+03, 1
0.14371E+04, 0.23599E+03, -0.96214E+03, 1
0.14775E+04, 0.46368E+03, -0.96409E+03, 1
0.14458E+04, 0.40561E+03, -0.96362E+03, 1
0.15369E+04, 0.56980E+02, -0.96360E+03, 1
0.15251E+04, 0.78694E+02, -0.96385E+03, 1
0.15090E+04, 0.48649E+03, -0.10264E+04, 1
0.15670E+04, 0.40293E+01, -0.96467E+03, 1
0.14242E+04, 0.25885E+03, -0.96287E+03, 1
0.14645E+04, 0.33986E+03, -0.96399E+03, 1
0.14550E+04, 0.39644E+03, -0.96292E+03, 1
0.14487E+04, 0.21804E+03, -0.96463E+03, 1
0.15088E+04, 0.48476E+03, -0.11150E+04, 1
0.14586E+04, 0.33347E+03, -0.96004E+03, 1
0.14736E+04, 0.34405E+03, -0.96498E+03, 1
0.15859E+04, -0.40612E+02, -0.97773E+03, 1
0.14269E+04, 0.26034E+03, -0.96094E+03, 1
0.14755E+04, 0.34753E+03, -0.96276E+03, 1
0.15108E+04, 0.48604E+03, -0.10886E+04, 1
0.15286E+04, 0.72899E+02, -0.96338E+03, 1
0.15443E+04, 0.50183E+02, -0.96114E+03, 1
0.14774E+04, 0.46477E+03, -0.96212E+03, 1
0.15070E+04, 0.48695E+03, -0.99455E+03, 1
0.14823E+04, 0.34937E+03, -0.96340E+03, 1
0.14395E+04, 0.31676E+03, -0.96356E+03, 1
0.14094E+04, 0.28822E+03, -0.96321E+03, 1
0.14508E+04, 0.39636E+03, -0.96055E+03, 1
